,example_id,predicted_label,real_label,full_ordering,correct
0,dev-data/mutual/dev/dev_1.txt,A,B,"['A', 'B', 'D', 'C']",False
1,dev-data/mutual/dev/dev_10.txt,A,C,"['A', 'D', 'B', 'C']",False
2,dev-data/mutual/dev/dev_100.txt,B,C,"['B', 'D', 'A', 'C']",False
3,dev-data/mutual/dev/dev_101.txt,A,D,"['A', 'C', 'D', 'B']",False
4,dev-data/mutual/dev/dev_102.txt,B,A,"['B', 'C', 'D', 'A']",False
5,dev-data/mutual/dev/dev_103.txt,C,D,"['C', 'B', 'A', 'D']",False
6,dev-data/mutual/dev/dev_104.txt,B,D,"['B', 'D', 'C', 'A']",False
7,dev-data/mutual/dev/dev_105.txt,A,D,"['A', 'C', 'B', 'D']",False
8,dev-data/mutual/dev/dev_106.txt,D,C,"['D', 'B', 'C', 'A']",False
9,dev-data/mutual/dev/dev_107.txt,C,B,"['C', 'A', 'B', 'D']",False
10,dev-data/mutual/dev/dev_108.txt,B,A,"['B', 'A', 'D', 'C']",False
11,dev-data/mutual/dev/dev_109.txt,B,D,"['B', 'A', 'C', 'D']",False
12,dev-data/mutual/dev/dev_11.txt,C,A,"['C', 'D', 'A', 'B']",False
13,dev-data/mutual/dev/dev_110.txt,A,A,"['A', 'C', 'B', 'D']",True
14,dev-data/mutual/dev/dev_111.txt,B,D,"['B', 'A', 'D', 'C']",False
15,dev-data/mutual/dev/dev_112.txt,C,B,"['C', 'A', 'B', 'D']",False
16,dev-data/mutual/dev/dev_113.txt,D,A,"['D', 'C', 'B', 'A']",False
17,dev-data/mutual/dev/dev_114.txt,D,B,"['D', 'A', 'C', 'B']",False
18,dev-data/mutual/dev/dev_115.txt,B,D,"['B', 'A', 'C', 'D']",False
19,dev-data/mutual/dev/dev_116.txt,A,B,"['A', 'B', 'C', 'D']",False
20,dev-data/mutual/dev/dev_117.txt,D,D,"['D', 'A', 'C', 'B']",True
21,dev-data/mutual/dev/dev_118.txt,A,C,"['A', 'D', 'C', 'B']",False
22,dev-data/mutual/dev/dev_119.txt,C,A,"['C', 'A', 'B', 'D']",False
23,dev-data/mutual/dev/dev_12.txt,C,A,"['C', 'D', 'A', 'B']",False
24,dev-data/mutual/dev/dev_120.txt,C,A,"['C', 'B', 'A', 'D']",False
25,dev-data/mutual/dev/dev_121.txt,C,C,"['C', 'B', 'A', 'D']",True
26,dev-data/mutual/dev/dev_122.txt,A,C,"['A', 'D', 'B', 'C']",False
27,dev-data/mutual/dev/dev_123.txt,A,B,"['A', 'C', 'D', 'B']",False
28,dev-data/mutual/dev/dev_124.txt,B,A,"['B', 'D', 'C', 'A']",False
29,dev-data/mutual/dev/dev_125.txt,B,D,"['B', 'A', 'D', 'C']",False
30,dev-data/mutual/dev/dev_126.txt,B,A,"['B', 'A', 'C', 'D']",False
31,dev-data/mutual/dev/dev_127.txt,B,A,"['B', 'A', 'C', 'D']",False
32,dev-data/mutual/dev/dev_128.txt,A,B,"['A', 'B', 'C', 'D']",False
33,dev-data/mutual/dev/dev_129.txt,A,C,"['A', 'C', 'B', 'D']",False
34,dev-data/mutual/dev/dev_13.txt,C,D,"['C', 'B', 'A', 'D']",False
35,dev-data/mutual/dev/dev_130.txt,A,B,"['A', 'D', 'C', 'B']",False
36,dev-data/mutual/dev/dev_131.txt,D,A,"['D', 'C', 'B', 'A']",False
37,dev-data/mutual/dev/dev_132.txt,D,A,"['D', 'B', 'A', 'C']",False
38,dev-data/mutual/dev/dev_133.txt,D,D,"['D', 'A', 'B', 'C']",True
39,dev-data/mutual/dev/dev_134.txt,C,D,"['C', 'D', 'A', 'B']",False
40,dev-data/mutual/dev/dev_135.txt,C,D,"['C', 'D', 'B', 'A']",False
41,dev-data/mutual/dev/dev_136.txt,C,B,"['C', 'A', 'B', 'D']",False
42,dev-data/mutual/dev/dev_137.txt,B,B,"['B', 'A', 'D', 'C']",True
43,dev-data/mutual/dev/dev_138.txt,B,D,"['B', 'A', 'D', 'C']",False
44,dev-data/mutual/dev/dev_139.txt,A,D,"['A', 'B', 'D', 'C']",False
45,dev-data/mutual/dev/dev_14.txt,A,C,"['A', 'D', 'C', 'B']",False
46,dev-data/mutual/dev/dev_140.txt,A,C,"['A', 'C', 'D', 'B']",False
47,dev-data/mutual/dev/dev_141.txt,D,B,"['D', 'A', 'C', 'B']",False
48,dev-data/mutual/dev/dev_142.txt,A,C,"['A', 'D', 'C', 'B']",False
49,dev-data/mutual/dev/dev_143.txt,D,A,"['D', 'B', 'A', 'C']",False
50,dev-data/mutual/dev/dev_144.txt,D,D,"['D', 'B', 'C', 'A']",True
51,dev-data/mutual/dev/dev_145.txt,C,D,"['C', 'A', 'D', 'B']",False
52,dev-data/mutual/dev/dev_146.txt,A,A,"['A', 'C', 'D', 'B']",True
53,dev-data/mutual/dev/dev_147.txt,A,A,"['A', 'D', 'B', 'C']",True
54,dev-data/mutual/dev/dev_148.txt,D,C,"['D', 'C', 'B', 'A']",False
55,dev-data/mutual/dev/dev_149.txt,C,B,"['C', 'B', 'A', 'D']",False
56,dev-data/mutual/dev/dev_15.txt,B,D,"['B', 'A', 'D', 'C']",False
57,dev-data/mutual/dev/dev_150.txt,B,C,"['B', 'C', 'A', 'D']",False
58,dev-data/mutual/dev/dev_151.txt,A,B,"['A', 'B', 'D', 'C']",False
59,dev-data/mutual/dev/dev_152.txt,B,A,"['B', 'A', 'D', 'C']",False
60,dev-data/mutual/dev/dev_153.txt,C,B,"['C', 'D', 'A', 'B']",False
61,dev-data/mutual/dev/dev_154.txt,D,D,"['D', 'C', 'A', 'B']",True
62,dev-data/mutual/dev/dev_155.txt,C,A,"['C', 'B', 'D', 'A']",False
63,dev-data/mutual/dev/dev_156.txt,D,C,"['D', 'C', 'A', 'B']",False
64,dev-data/mutual/dev/dev_157.txt,D,D,"['D', 'C', 'A', 'B']",True
65,dev-data/mutual/dev/dev_158.txt,A,D,"['A', 'C', 'B', 'D']",False
66,dev-data/mutual/dev/dev_159.txt,D,D,"['D', 'A', 'B', 'C']",True
67,dev-data/mutual/dev/dev_16.txt,D,A,"['D', 'A', 'C', 'B']",False
68,dev-data/mutual/dev/dev_160.txt,A,D,"['A', 'D', 'B', 'C']",False
69,dev-data/mutual/dev/dev_161.txt,A,B,"['A', 'D', 'B', 'C']",False
70,dev-data/mutual/dev/dev_162.txt,C,A,"['C', 'B', 'A', 'D']",False
71,dev-data/mutual/dev/dev_163.txt,A,A,"['A', 'B', 'D', 'C']",True
72,dev-data/mutual/dev/dev_164.txt,C,C,"['C', 'A', 'D', 'B']",True
73,dev-data/mutual/dev/dev_165.txt,B,D,"['B', 'A', 'D', 'C']",False
74,dev-data/mutual/dev/dev_166.txt,C,B,"['C', 'A', 'B', 'D']",False
75,dev-data/mutual/dev/dev_167.txt,B,B,"['B', 'C', 'A', 'D']",True
76,dev-data/mutual/dev/dev_168.txt,C,A,"['C', 'B', 'A', 'D']",False
77,dev-data/mutual/dev/dev_169.txt,A,C,"['A', 'C', 'B', 'D']",False
78,dev-data/mutual/dev/dev_17.txt,B,B,"['B', 'A', 'C', 'D']",True
79,dev-data/mutual/dev/dev_170.txt,B,B,"['B', 'A', 'D', 'C']",True
80,dev-data/mutual/dev/dev_171.txt,A,C,"['A', 'D', 'C', 'B']",False
81,dev-data/mutual/dev/dev_172.txt,D,D,"['D', 'C', 'B', 'A']",True
