,example_id,predicted_label,real_label,correct
0,dev-data/mutual/dev/dev_1.txt,A,B,False
1,dev-data/mutual/dev/dev_10.txt,C,C,True
2,dev-data/mutual/dev/dev_100.txt,C,C,True
3,dev-data/mutual/dev/dev_101.txt,C,D,False
4,dev-data/mutual/dev/dev_102.txt,D,A,False
5,dev-data/mutual/dev/dev_103.txt,A,D,False
6,dev-data/mutual/dev/dev_104.txt,D,D,True
7,dev-data/mutual/dev/dev_105.txt,D,D,True
8,dev-data/mutual/dev/dev_106.txt,A,C,False
9,dev-data/mutual/dev/dev_107.txt,C,B,False
10,dev-data/mutual/dev/dev_108.txt,A,A,True
11,dev-data/mutual/dev/dev_109.txt,D,D,True
12,dev-data/mutual/dev/dev_11.txt,A,A,True
13,dev-data/mutual/dev/dev_110.txt,D,A,False
14,dev-data/mutual/dev/dev_111.txt,B,D,False
15,dev-data/mutual/dev/dev_112.txt,C,B,False
16,dev-data/mutual/dev/dev_113.txt,D,A,False
17,dev-data/mutual/dev/dev_114.txt,D,B,False
18,dev-data/mutual/dev/dev_115.txt,B,D,False
19,dev-data/mutual/dev/dev_116.txt,B,B,True
20,dev-data/mutual/dev/dev_117.txt,B,D,False
21,dev-data/mutual/dev/dev_118.txt,D,C,False
22,dev-data/mutual/dev/dev_119.txt,D,A,False
23,dev-data/mutual/dev/dev_12.txt,B,A,False
24,dev-data/mutual/dev/dev_120.txt,D,A,False
25,dev-data/mutual/dev/dev_121.txt,B,C,False
26,dev-data/mutual/dev/dev_122.txt,C,C,True
27,dev-data/mutual/dev/dev_123.txt,A,B,False
28,dev-data/mutual/dev/dev_124.txt,C,A,False
29,dev-data/mutual/dev/dev_125.txt,C,D,False
30,dev-data/mutual/dev/dev_126.txt,C,A,False
31,dev-data/mutual/dev/dev_127.txt,D,A,False
32,dev-data/mutual/dev/dev_128.txt,B,B,True
33,dev-data/mutual/dev/dev_129.txt,A,C,False
34,dev-data/mutual/dev/dev_13.txt,A,D,False
35,dev-data/mutual/dev/dev_130.txt,A,B,False
36,dev-data/mutual/dev/dev_131.txt,A,A,True
37,dev-data/mutual/dev/dev_132.txt,D,A,False
38,dev-data/mutual/dev/dev_133.txt,A,D,False
39,dev-data/mutual/dev/dev_134.txt,C,D,False
40,dev-data/mutual/dev/dev_135.txt,B,D,False
41,dev-data/mutual/dev/dev_136.txt,A,B,False
42,dev-data/mutual/dev/dev_137.txt,C,B,False
43,dev-data/mutual/dev/dev_138.txt,B,D,False
44,dev-data/mutual/dev/dev_139.txt,B,D,False
45,dev-data/mutual/dev/dev_14.txt,B,C,False
46,dev-data/mutual/dev/dev_140.txt,B,C,False
47,dev-data/mutual/dev/dev_141.txt,D,B,False
48,dev-data/mutual/dev/dev_142.txt,D,C,False
49,dev-data/mutual/dev/dev_143.txt,C,A,False
50,dev-data/mutual/dev/dev_144.txt,C,D,False
51,dev-data/mutual/dev/dev_145.txt,B,D,False
52,dev-data/mutual/dev/dev_146.txt,A,A,True
53,dev-data/mutual/dev/dev_147.txt,D,A,False
54,dev-data/mutual/dev/dev_148.txt,A,C,False
55,dev-data/mutual/dev/dev_149.txt,C,B,False
56,dev-data/mutual/dev/dev_15.txt,A,D,False
57,dev-data/mutual/dev/dev_150.txt,B,C,False
58,dev-data/mutual/dev/dev_151.txt,B,B,True
59,dev-data/mutual/dev/dev_152.txt,B,A,False
60,dev-data/mutual/dev/dev_153.txt,D,B,False
61,dev-data/mutual/dev/dev_154.txt,C,D,False
62,dev-data/mutual/dev/dev_155.txt,B,A,False
63,dev-data/mutual/dev/dev_156.txt,A,C,False
64,dev-data/mutual/dev/dev_157.txt,D,D,True
65,dev-data/mutual/dev/dev_158.txt,D,D,True
66,dev-data/mutual/dev/dev_159.txt,D,D,True
67,dev-data/mutual/dev/dev_16.txt,C,A,False
68,dev-data/mutual/dev/dev_160.txt,D,D,True
69,dev-data/mutual/dev/dev_161.txt,C,B,False
70,dev-data/mutual/dev/dev_162.txt,B,A,False
71,dev-data/mutual/dev/dev_163.txt,D,A,False
72,dev-data/mutual/dev/dev_164.txt,A,C,False
73,dev-data/mutual/dev/dev_165.txt,D,D,True
74,dev-data/mutual/dev/dev_166.txt,D,B,False
75,dev-data/mutual/dev/dev_167.txt,A,B,False
76,dev-data/mutual/dev/dev_168.txt,B,A,False
77,dev-data/mutual/dev/dev_169.txt,C,C,True
78,dev-data/mutual/dev/dev_17.txt,C,B,False
79,dev-data/mutual/dev/dev_170.txt,A,B,False
80,dev-data/mutual/dev/dev_171.txt,A,C,False
81,dev-data/mutual/dev/dev_172.txt,C,D,False
82,dev-data/mutual/dev/dev_173.txt,B,C,False
83,dev-data/mutual/dev/dev_174.txt,A,D,False
84,dev-data/mutual/dev/dev_175.txt,C,D,False
85,dev-data/mutual/dev/dev_176.txt,D,C,False
86,dev-data/mutual/dev/dev_177.txt,A,B,False
87,dev-data/mutual/dev/dev_178.txt,C,A,False
88,dev-data/mutual/dev/dev_179.txt,B,A,False
89,dev-data/mutual/dev/dev_18.txt,A,D,False
90,dev-data/mutual/dev/dev_180.txt,D,C,False
91,dev-data/mutual/dev/dev_181.txt,C,D,False
92,dev-data/mutual/dev/dev_182.txt,B,B,True
93,dev-data/mutual/dev/dev_183.txt,D,D,True
94,dev-data/mutual/dev/dev_184.txt,D,B,False
95,dev-data/mutual/dev/dev_185.txt,B,B,True
