,example_id,predicted_label,real_label,correct
0,dev-data/mutual/dev/dev_1.txt,A,B,False
1,dev-data/mutual/dev/dev_10.txt,B,C,False
2,dev-data/mutual/dev/dev_100.txt,D,C,False
3,dev-data/mutual/dev/dev_101.txt,A,D,False
4,dev-data/mutual/dev/dev_102.txt,D,A,False
5,dev-data/mutual/dev/dev_103.txt,D,D,True
6,dev-data/mutual/dev/dev_104.txt,C,D,False
7,dev-data/mutual/dev/dev_105.txt,A,D,False
8,dev-data/mutual/dev/dev_106.txt,C,C,True
9,dev-data/mutual/dev/dev_107.txt,C,B,False
10,dev-data/mutual/dev/dev_108.txt,D,A,False
11,dev-data/mutual/dev/dev_109.txt,C,D,False
12,dev-data/mutual/dev/dev_11.txt,C,A,False
13,dev-data/mutual/dev/dev_110.txt,A,A,True
14,dev-data/mutual/dev/dev_111.txt,B,D,False
15,dev-data/mutual/dev/dev_112.txt,B,B,True
16,dev-data/mutual/dev/dev_113.txt,D,A,False
17,dev-data/mutual/dev/dev_114.txt,B,B,True
18,dev-data/mutual/dev/dev_115.txt,D,D,True
19,dev-data/mutual/dev/dev_116.txt,B,B,True
20,dev-data/mutual/dev/dev_117.txt,A,D,False
21,dev-data/mutual/dev/dev_118.txt,A,C,False
22,dev-data/mutual/dev/dev_119.txt,B,A,False
23,dev-data/mutual/dev/dev_12.txt,D,A,False
24,dev-data/mutual/dev/dev_120.txt,C,A,False
25,dev-data/mutual/dev/dev_121.txt,B,C,False
26,dev-data/mutual/dev/dev_122.txt,B,C,False
27,dev-data/mutual/dev/dev_123.txt,B,B,True
28,dev-data/mutual/dev/dev_124.txt,B,A,False
29,dev-data/mutual/dev/dev_125.txt,C,D,False
30,dev-data/mutual/dev/dev_126.txt,C,A,False
31,dev-data/mutual/dev/dev_127.txt,A,A,True
32,dev-data/mutual/dev/dev_128.txt,D,B,False
33,dev-data/mutual/dev/dev_129.txt,B,C,False
34,dev-data/mutual/dev/dev_13.txt,D,D,True
35,dev-data/mutual/dev/dev_130.txt,B,B,True
36,dev-data/mutual/dev/dev_131.txt,B,A,False
37,dev-data/mutual/dev/dev_132.txt,D,A,False
38,dev-data/mutual/dev/dev_133.txt,B,D,False
39,dev-data/mutual/dev/dev_134.txt,A,D,False
40,dev-data/mutual/dev/dev_135.txt,D,D,True
41,dev-data/mutual/dev/dev_136.txt,A,B,False
42,dev-data/mutual/dev/dev_137.txt,A,B,False
43,dev-data/mutual/dev/dev_138.txt,B,D,False
44,dev-data/mutual/dev/dev_139.txt,C,D,False
45,dev-data/mutual/dev/dev_14.txt,B,C,False
46,dev-data/mutual/dev/dev_140.txt,B,C,False
47,dev-data/mutual/dev/dev_141.txt,B,B,True
48,dev-data/mutual/dev/dev_142.txt,D,C,False
49,dev-data/mutual/dev/dev_143.txt,D,A,False
50,dev-data/mutual/dev/dev_144.txt,D,D,True
51,dev-data/mutual/dev/dev_145.txt,D,D,True
52,dev-data/mutual/dev/dev_146.txt,A,A,True
53,dev-data/mutual/dev/dev_147.txt,B,A,False
54,dev-data/mutual/dev/dev_148.txt,D,C,False
55,dev-data/mutual/dev/dev_149.txt,C,B,False
56,dev-data/mutual/dev/dev_15.txt,D,D,True
57,dev-data/mutual/dev/dev_150.txt,B,C,False
58,dev-data/mutual/dev/dev_151.txt,A,B,False
59,dev-data/mutual/dev/dev_152.txt,B,A,False
60,dev-data/mutual/dev/dev_153.txt,A,B,False
61,dev-data/mutual/dev/dev_154.txt,B,D,False
62,dev-data/mutual/dev/dev_155.txt,A,A,True
63,dev-data/mutual/dev/dev_156.txt,B,C,False
64,dev-data/mutual/dev/dev_157.txt,D,D,True
65,dev-data/mutual/dev/dev_158.txt,A,D,False
66,dev-data/mutual/dev/dev_159.txt,A,D,False
67,dev-data/mutual/dev/dev_16.txt,C,A,False
68,dev-data/mutual/dev/dev_160.txt,B,D,False
69,dev-data/mutual/dev/dev_161.txt,A,B,False
70,dev-data/mutual/dev/dev_162.txt,D,A,False
71,dev-data/mutual/dev/dev_163.txt,C,A,False
72,dev-data/mutual/dev/dev_164.txt,A,C,False
73,dev-data/mutual/dev/dev_165.txt,D,D,True
74,dev-data/mutual/dev/dev_166.txt,B,B,True
75,dev-data/mutual/dev/dev_167.txt,D,B,False
76,dev-data/mutual/dev/dev_168.txt,C,A,False
77,dev-data/mutual/dev/dev_169.txt,A,C,False
78,dev-data/mutual/dev/dev_17.txt,C,B,False
79,dev-data/mutual/dev/dev_170.txt,C,B,False
80,dev-data/mutual/dev/dev_171.txt,D,C,False
81,dev-data/mutual/dev/dev_172.txt,C,D,False
82,dev-data/mutual/dev/dev_173.txt,B,C,False
83,dev-data/mutual/dev/dev_174.txt,A,D,False
84,dev-data/mutual/dev/dev_175.txt,C,D,False
85,dev-data/mutual/dev/dev_176.txt,D,C,False
86,dev-data/mutual/dev/dev_177.txt,B,B,True
87,dev-data/mutual/dev/dev_178.txt,A,A,True
88,dev-data/mutual/dev/dev_179.txt,A,A,True
89,dev-data/mutual/dev/dev_18.txt,D,D,True
90,dev-data/mutual/dev/dev_180.txt,D,C,False
91,dev-data/mutual/dev/dev_181.txt,A,D,False
92,dev-data/mutual/dev/dev_182.txt,B,B,True
93,dev-data/mutual/dev/dev_183.txt,D,D,True
94,dev-data/mutual/dev/dev_184.txt,D,B,False
95,dev-data/mutual/dev/dev_185.txt,D,B,False
96,dev-data/mutual/dev/dev_186.txt,C,C,True
97,dev-data/mutual/dev/dev_187.txt,A,A,True
98,dev-data/mutual/dev/dev_188.txt,C,D,False
99,dev-data/mutual/dev/dev_189.txt,A,D,False
100,dev-data/mutual/dev/dev_19.txt,D,C,False
101,dev-data/mutual/dev/dev_190.txt,A,A,True
102,dev-data/mutual/dev/dev_191.txt,C,A,False
103,dev-data/mutual/dev/dev_192.txt,C,C,True
104,dev-data/mutual/dev/dev_193.txt,D,A,False
105,dev-data/mutual/dev/dev_194.txt,A,C,False
106,dev-data/mutual/dev/dev_195.txt,B,D,False
107,dev-data/mutual/dev/dev_196.txt,D,C,False
108,dev-data/mutual/dev/dev_197.txt,B,D,False
109,dev-data/mutual/dev/dev_198.txt,B,A,False
110,dev-data/mutual/dev/dev_199.txt,B,C,False
111,dev-data/mutual/dev/dev_2.txt,B,C,False
112,dev-data/mutual/dev/dev_20.txt,C,C,True
113,dev-data/mutual/dev/dev_200.txt,D,C,False
114,dev-data/mutual/dev/dev_201.txt,B,C,False
115,dev-data/mutual/dev/dev_202.txt,C,C,True
116,dev-data/mutual/dev/dev_203.txt,A,A,True
117,dev-data/mutual/dev/dev_204.txt,A,B,False
118,dev-data/mutual/dev/dev_205.txt,D,A,False
119,dev-data/mutual/dev/dev_206.txt,D,D,True
120,dev-data/mutual/dev/dev_207.txt,B,A,False
121,dev-data/mutual/dev/dev_208.txt,B,B,True
122,dev-data/mutual/dev/dev_209.txt,B,D,False
123,dev-data/mutual/dev/dev_21.txt,A,C,False
124,dev-data/mutual/dev/dev_210.txt,C,B,False
125,dev-data/mutual/dev/dev_211.txt,B,D,False
126,dev-data/mutual/dev/dev_212.txt,B,D,False
127,dev-data/mutual/dev/dev_213.txt,A,A,True
128,dev-data/mutual/dev/dev_214.txt,C,B,False
129,dev-data/mutual/dev/dev_215.txt,B,D,False
130,dev-data/mutual/dev/dev_216.txt,C,A,False
131,dev-data/mutual/dev/dev_217.txt,B,D,False
132,dev-data/mutual/dev/dev_218.txt,A,D,False
133,dev-data/mutual/dev/dev_219.txt,C,B,False
134,dev-data/mutual/dev/dev_22.txt,B,B,True
135,dev-data/mutual/dev/dev_220.txt,D,D,True
136,dev-data/mutual/dev/dev_221.txt,B,D,False
137,dev-data/mutual/dev/dev_222.txt,B,B,True
138,dev-data/mutual/dev/dev_223.txt,C,D,False
139,dev-data/mutual/dev/dev_224.txt,A,A,True
140,dev-data/mutual/dev/dev_225.txt,B,D,False
141,dev-data/mutual/dev/dev_226.txt,C,A,False
142,dev-data/mutual/dev/dev_227.txt,A,B,False
143,dev-data/mutual/dev/dev_228.txt,D,B,False
144,dev-data/mutual/dev/dev_229.txt,D,D,True
145,dev-data/mutual/dev/dev_23.txt,B,D,False
146,dev-data/mutual/dev/dev_230.txt,B,A,False
147,dev-data/mutual/dev/dev_231.txt,D,A,False
148,dev-data/mutual/dev/dev_232.txt,C,B,False
149,dev-data/mutual/dev/dev_233.txt,C,D,False
150,dev-data/mutual/dev/dev_234.txt,A,A,True
151,dev-data/mutual/dev/dev_235.txt,B,D,False
152,dev-data/mutual/dev/dev_236.txt,D,C,False
153,dev-data/mutual/dev/dev_237.txt,A,D,False
154,dev-data/mutual/dev/dev_238.txt,A,D,False
155,dev-data/mutual/dev/dev_239.txt,D,A,False
156,dev-data/mutual/dev/dev_24.txt,D,C,False
157,dev-data/mutual/dev/dev_240.txt,C,A,False
158,dev-data/mutual/dev/dev_241.txt,A,A,True
159,dev-data/mutual/dev/dev_242.txt,B,B,True
160,dev-data/mutual/dev/dev_243.txt,B,D,False
161,dev-data/mutual/dev/dev_244.txt,B,D,False
162,dev-data/mutual/dev/dev_245.txt,B,D,False
163,dev-data/mutual/dev/dev_246.txt,D,B,False
164,dev-data/mutual/dev/dev_247.txt,A,D,False
165,dev-data/mutual/dev/dev_248.txt,D,B,False
166,dev-data/mutual/dev/dev_249.txt,B,B,True
167,dev-data/mutual/dev/dev_25.txt,B,C,False
168,dev-data/mutual/dev/dev_250.txt,B,D,False
169,dev-data/mutual/dev/dev_251.txt,C,C,True
170,dev-data/mutual/dev/dev_252.txt,B,D,False
171,dev-data/mutual/dev/dev_253.txt,B,C,False
172,dev-data/mutual/dev/dev_254.txt,C,D,False
173,dev-data/mutual/dev/dev_255.txt,B,B,True
174,dev-data/mutual/dev/dev_256.txt,C,A,False
175,dev-data/mutual/dev/dev_257.txt,B,A,False
176,dev-data/mutual/dev/dev_258.txt,A,D,False
177,dev-data/mutual/dev/dev_259.txt,C,B,False
178,dev-data/mutual/dev/dev_26.txt,C,A,False
179,dev-data/mutual/dev/dev_260.txt,A,A,True
180,dev-data/mutual/dev/dev_261.txt,D,A,False
181,dev-data/mutual/dev/dev_262.txt,C,D,False
182,dev-data/mutual/dev/dev_263.txt,B,B,True
183,dev-data/mutual/dev/dev_264.txt,D,A,False
184,dev-data/mutual/dev/dev_265.txt,C,A,False
185,dev-data/mutual/dev/dev_266.txt,C,D,False
186,dev-data/mutual/dev/dev_267.txt,B,A,False
187,dev-data/mutual/dev/dev_268.txt,C,A,False
188,dev-data/mutual/dev/dev_269.txt,A,B,False
189,dev-data/mutual/dev/dev_27.txt,A,A,True
190,dev-data/mutual/dev/dev_270.txt,B,B,True
191,dev-data/mutual/dev/dev_271.txt,A,A,True
192,dev-data/mutual/dev/dev_272.txt,C,B,False
193,dev-data/mutual/dev/dev_273.txt,A,B,False
194,dev-data/mutual/dev/dev_274.txt,D,C,False
195,dev-data/mutual/dev/dev_275.txt,D,A,False
196,dev-data/mutual/dev/dev_276.txt,C,D,False
197,dev-data/mutual/dev/dev_277.txt,C,C,True
198,dev-data/mutual/dev/dev_278.txt,C,D,False
199,dev-data/mutual/dev/dev_279.txt,D,D,True
200,dev-data/mutual/dev/dev_28.txt,C,C,True
201,dev-data/mutual/dev/dev_280.txt,C,D,False
202,dev-data/mutual/dev/dev_281.txt,A,D,False
